,ECLO
0,0.05479452
1,0.02739726
2,0.02739726
3,0.05479452
4,0.02739726
5,0.06849315
6,0.23287672
7,0.02739726
8,0.05479452
9,0.10958904
10,0.05479452
11,0.02739726
12,0.05479452
13,0.05479452
14,0.09589041
15,0.02739726
16,0.02739726
17,0.02739726
18,0.05479452
19,0.05479452
20,0.19178082
21,0.02739726
22,0.02739726
23,0.02739726
24,0.02739726
25,0.02739726
26,0.02739726
27,0.01369863
28,0.02739726
29,0.05479452
30,0.0
31,0.06849315
32,0.02739726
33,0.05479452
34,0.06849315
35,0.02739726
36,0.02739726
37,0.08219178
38,0.0
39,0.02739726
40,0.06849315
41,0.0
42,0.02739726
43,0.06849315
44,0.06849315
45,0.06849315
46,0.02739726
47,0.05479452
48,0.04109589
49,0.0
50,0.15068494
51,0.02739726
52,0.05479452
53,0.02739726
54,0.02739726
55,0.02739726
56,0.04109589
57,0.06849315
58,0.02739726
59,0.02739726
60,0.0
61,0.02739726
62,0.02739726
63,0.05479452
64,0.0
65,0.02739726
66,0.05479452
67,0.06849315
68,0.02739726
69,0.05479452
70,0.02739726
71,0.05479452
72,0.06849315
73,0.16438356
74,0.02739726
75,0.02739726
76,0.09589041
77,0.02739726
78,0.02739726
79,0.0
80,0.0
81,0.02739726
82,0.02739726
83,0.05479452
84,0.05479452
85,0.15068494
86,0.06849315
87,0.06849315
88,0.05479452
89,0.15068494
90,0.02739726
91,0.05479452
92,0.05479452
93,0.0
94,0.05479452
95,0.12328767
96,0.0
97,0.02739726
98,0.0
99,0.02739726
100,0.02739726
101,0.09589041
102,0.05479452
103,0.02739726
104,0.15068494
105,0.02739726
106,0.08219178
107,0.09589041
108,0.05479452
109,0.06849315
110,0.05479452
111,0.02739726
112,0.02739726
113,0.0
114,0.02739726
115,0.05479452
116,0.09589041
117,0.06849315
118,0.02739726
119,0.02739726
120,0.02739726
121,0.15068494
122,0.02739726
123,0.0
124,0.02739726
125,0.02739726
126,0.02739726
127,0.16438356
128,0.02739726
129,0.06849315
130,0.02739726
131,0.10958904
132,0.02739726
133,0.05479452
134,0.06849315
135,0.02739726
136,0.0
137,0.02739726
138,0.02739726
139,0.05479452
140,0.02739726
141,0.12328767
142,0.05479452
143,0.02739726
144,0.05479452
145,0.02739726
146,0.08219178
147,0.08219178
148,0.02739726
149,0.02739726
150,0.10958904
151,0.02739726
152,0.02739726
153,0.02739726
154,0.06849315
155,0.02739726
156,0.02739726
157,0.05479452
158,0.05479452
159,0.02739726
160,0.05479452
161,0.04109589
162,0.02739726
163,0.02739726
164,0.12328767
165,0.05479452
166,0.05479452
167,0.02739726
168,0.02739726
169,0.02739726
170,0.10958904
171,0.05479452
172,0.02739726
173,0.05479452
174,0.02739726
175,0.06849315
176,0.06849315
177,0.02739726
178,0.05479452
179,0.02739726
180,0.05479452
181,0.02739726
182,0.0
183,0.02739726
184,0.02739726
185,0.05479452
186,0.0
187,0.12328767
188,0.06849315
189,0.05479452
190,0.1369863
191,0.05479452
192,0.16438356
193,0.02739726
194,0.02739726
195,0.02739726
196,0.02739726
197,0.02739726
198,0.06849315
199,0.02739726
200,0.02739726
201,0.02739726
202,0.02739726
203,0.02739726
204,0.05479452
205,0.02739726
206,0.02739726
207,0.05479452
208,0.12328767
209,0.06849315
210,0.05479452
211,0.0
212,0.05479452
213,0.05479452
214,0.02739726
215,0.05479452
216,0.02739726
217,0.05479452
218,0.06849315
219,0.02739726
220,0.02739726
221,0.01369863
222,0.0
223,0.02739726
224,0.05479452
225,0.05479452
226,0.0
227,0.02739726
228,0.02739726
229,0.02739726
230,0.02739726
231,0.02739726
232,0.02739726
233,0.05479452
234,0.09589041
235,0.05479452
236,0.05479452
237,0.02739726
238,0.10958904
239,0.05479452
240,0.02739726
241,0.02739726
242,0.09589041
243,0.02739726
244,0.06849315
245,0.1369863
246,0.02739726
247,0.02739726
248,0.02739726
249,0.05479452
250,0.02739726
251,0.12328767
252,0.05479452
253,0.05479452
254,0.0
255,0.0
256,0.05479452
257,0.02739726
258,0.0
259,0.04109589
260,0.02739726
261,0.02739726
262,0.1369863
263,0.0
264,0.06849315
265,0.0
266,0.05479452
267,0.0
268,0.02739726
269,0.02739726
270,0.06849315
271,0.02739726
272,0.02739726
273,0.1369863
274,0.0
275,0.02739726
276,0.02739726
277,0.02739726
278,0.02739726
279,0.05479452
280,0.02739726
281,0.1369863
282,0.20547946
283,0.05479452
284,0.02739726
285,0.05479452
286,0.02739726
287,0.02739726
288,0.02739726
289,0.02739726
290,0.02739726
291,0.05479452
292,0.05479452
293,0.06849315
294,0.08219178
295,0.02739726
296,0.05479452
297,0.05479452
298,0.02739726
299,0.05479452
300,0.05479452
301,0.09589041
302,0.02739726
303,0.02739726
304,0.09589041
305,0.02739726
306,0.05479452
307,0.02739726
308,0.02739726
309,0.01369863
310,0.06849315
311,0.02739726
312,0.02739726
313,0.02739726
314,0.05479452
315,0.05479452
316,0.05479452
317,0.02739726
318,0.06849315
319,0.02739726
320,0.05479452
321,0.0
322,0.02739726
323,0.02739726
324,0.02739726
325,0.02739726
326,0.05479452
327,0.02739726
328,0.02739726
329,0.02739726
330,0.06849315
331,0.02739726
332,0.06849315
333,0.0
334,0.0
335,0.02739726
336,0.04109589
337,0.06849315
338,0.04109589
339,0.02739726
340,0.06849315
341,0.0
342,0.02739726
343,0.10958904
344,0.04109589
345,0.02739726
346,0.06849315
